"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120101001","100001","12","云电同方"
"10000002","EN20120101002","100001","12","云电同方"
"10000002","EN20120101003","100001","12","云电同方"
"10000002","EN20120101004","100001","12","云电同方"
"10000002","EN20120101005","100001","12","云电同方"
"10000002","EN20120101006","100001","12","云电同方"
"10000002","EN20120101007","100001","12","云电同方"
"10000002","EN20120101008","100001","12","云电同方"
"10000002","EN20120101009","100001","12","云电同方"
"10000002","EN20120101010","100001","12","云电同方"
"10000002","EN20120101011","100001","12","云电同方"
"10000002","EN20120101012","100001","12","云电同方"
"10000002","EN20120101013","100001","12","云电同方"
"10000003","EN20120101014","100001","203","远信科技"
"10000002","EN20120101015","100001","12","云电同方"
"10000002","EN20120101016","100001","12","云电同方"
"10000003","EN20120101017","100003","12","云电同方"
"10000002","EN20120101018","100001","203","远信科技"
"10000003","EN20120101019","100001","203","远信科技"
"10000002","EN20120101020","100001","12","云电同方"
"10000002","EN20120101021","100001","203","远信科技"
"10000002","EN20120101022","100001","12","云电同方"
"10000002","EN20120101023","100003","202","昆明能讯"
"10000002","EN20120101024","100001","203","远信科技"
"10000002","EN20120101025","100001","12","云电同方"
"10000002","EN20120101026","100001","12","云电同方"
"10000002","EN20120101027","100001","203","远信科技"
"10000002","EN20120101028","100001","12","云电同方"
"10000002","EN20120101029","100001","12","云电同方"
"10000002","EN20120101030","100001","12","云电同方"
"10000002","EN20120101031","100001","12","云电同方"
"10000003","EN20120101032","100003","12","云电同方"
"10000002","EN20120101033","100001","12","云电同方"
"10000003","EN20120101034","100001","203","远信科技"
"10000002","EN20120101035","100001","12","云电同方"
"10000002","EN20120101036","100001","12","云电同方"
"10000003","EN20120101037","100003","12","云电同方"
"10000002","EN20120101038","100001","12","云电同方"
"10000003","EN20120101039","100003","12","云电同方"
"10000002","EN20120101040","100001","202","昆明能讯"
"10000002","EN20120101041","100010","202","昆明能讯"
"10000002","EN20120101042","100001","202","昆明能讯"
"10000002","EN20120101043","100001","202","昆明能讯"
"10000003","EN20120101044","100003","12","云电同方"
"10000002","EN20120101045","100001","12","云电同方"
"10000002","EN20120101046","100001","12","云电同方"
"10000002","EN20120101047","100001","203","远信科技"
"10000002","EN20120101048","100001","12","云电同方"
"10000002","EN20120101049","100001","12","云电同方"
"10000002","EN20120101050","100001","12","云电同方"
"10000003","EN20120101051","100003","12","云电同方"
"10000003","EN20120101052","100003","12","云电同方"
"10000002","EN20120101053","100001","12","云电同方"
"10000002","EN20120101054","100001","12","云电同方"
"10000002","EN20120101055","100001","12","云电同方"
"10000002","EN20120101056","100001","203","远信科技"
"10000003","EN20120101057","100003","12","云电同方"
"10000002","EN20120101058","100001","12","云电同方"
"10000002","EN20120101059","100001","12","云电同方"
"10000002","EN20120101261","100001","12","云电同方"
"10000002","EN20120102001","100001","12","云电同方"
"10000002","EN20120102002","100001","12","云电同方"
"10000002","EN20120102003","100001","12","云电同方"
"10000002","EN20120102004","100001","12","云电同方"
"10000002","EN20120102005","100001","203","远信科技"
"10000002","EN20120102006","100001","202","昆明能讯"
"10000003","EN20120102007","100001","203","远信科技"
"10000002","EN20120102008","100001","12","云电同方"
"10000002","EN20120102009","100001","12","云电同方"
"10000002","EN20120102010","100001","203","远信科技"
"10000002","EN20120102011","100001","12","云电同方"
"10000003","EN20120102012","100003","12","云电同方"
"10000002","EN20120102013","100001","12","云电同方"
"10000003","EN20120102014","100003","12","云电同方"
"10000002","EN20120103001","100001","12","云电同方"
"10000003","EN20120103002","100003","12","云电同方"
"10000003","EN20120103004","100003","12","云电同方"
"10000003","EN20120103005","100003","12","云电同方"
"10000003","EN20120103006","100003","12","云电同方"
"10000003","EN20120103007","100003","12","云电同方"
"10000003","EN20120103009","100003","12","云电同方"
"10000002","EN20120103010","100002","202","昆明能讯"
"10000002","EN20120103011","100001","12","云电同方"
"10000003","EN20120103012","100003","12","云电同方"
"10000002","EN20120103013","100001","12","云电同方"
"10000003","EN20120103014","100003","12","云电同方"
"10000004","EN20120103015","100005","202","昆明能讯"
"10000002","EN20120103016","100001","203","远信科技"
"10000003","EN20120104001","100003","12","云电同方"
"10000002","EN20120104002","100001","12","云电同方"
"10000002","EN20120104003","100001","203","远信科技"
"10000002","EN20120104004","100001","12","云电同方"
"10000003","EN20120104005","100001","203","远信科技"
"10000002","EN20120104006","100001","203","远信科技"
"10000003","EN20120104007","100003","12","云电同方"
"10000002","EN20120104008","100001","203","远信科技"
"10000002","EN20120104009","100001","203","远信科技"
"10000002","EN20120104010","100001","203","远信科技"
"10000002","EN20120104011","100001","12","云电同方"
"10000002","EN20120104012","100001","203","远信科技"
"10000003","EN20120104013","100003","12","云电同方"
"10000003","EN20120104014","100003","12","云电同方"
"10000003","EN20120104015","100001","203","远信科技"
"10000002","EN20120104016","100001","203","远信科技"
"10000002","EN20120104017","100001","203","远信科技"
"10000003","EN20120104018","100003","12","云电同方"
"10000002","EN20120104019","100001","203","远信科技"
"10000002","EN20120104020","100001","203","远信科技"
"10000002","EN20120104021","100001","203","远信科技"
"10000003","EN20120104022","100003","12","云电同方"
"10000002","EN20120104023","100001","203","远信科技"
"10000003","EN20120104024","100001","12","云电同方"
"10000002","EN20120104025","100001","12","云电同方"
"10000002","EN20120104026","100001","12","云电同方"
"10000003","EN20120104027","100001","203","远信科技"
"10000002","EN20120104028","100001","203","远信科技"
"10000002","EN20120104029","100001","203","远信科技"
"10000002","EN20120104030","100001","12","云电同方"
"10000003","EN20120104031","100003","12","云电同方"
"10000002","EN20120104032","100001","12","云电同方"
"10000002","EN20120104033","100001","203","远信科技"
"10000002","EN20120104034","100001","12","云电同方"
"10000002","EN20120104035","100001","203","远信科技"
"10000003","EN20120104036","100001","203","远信科技"
"10000002","EN20120104037","100001","12","云电同方"
"10000002","EN20120104038","100001","203","远信科技"
"10000002","EN20120104039","100001","203","远信科技"
"10000002","EN20120104040","100001","12","云电同方"
"10000002","EN20120104041","100001","203","远信科技"
"10000002","EN20120104042","100001","203","远信科技"
"10000002","EN20120104043","100001","12","云电同方"
"10000002","EN20120104044","100001","203","远信科技"
"10000002","EN20120104045","100001","12","云电同方"
"10000003","EN20120104046","100001","203","远信科技"
"10000002","EN20120104047","100001","12","云电同方"
"10000002","EN20120104048","100001","203","远信科技"
"10000002","EN20120104049","100001","12","云电同方"
"10000002","EN20120104050","100001","203","远信科技"
"10000003","EN20120104051","100003","12","云电同方"
"10000003","EN20120104052","100001","203","远信科技"
"10000002","EN20120104053","100001","12","云电同方"
"10000003","EN20120104054","100003","12","云电同方"
"10000002","EN20120104055","100001","203","远信科技"
"10000002","EN20120104056","100001","203","远信科技"
"10000002","EN20120104057","100001","203","远信科技"
"10000003","EN20120104058","100003","12","云电同方"
"10000003","EN20120104059","100003","12","云电同方"
"10000002","EN20120104060","100001","203","远信科技"
"10000003","EN20120104061","100001","203","远信科技"
"10000002","EN20120104062","100001","203","远信科技"
"10000002","EN20120104063","100001","12","云电同方"
"10000002","EN20120104064","100005","202","昆明能讯"
"10000003","EN20120104065","100001","203","远信科技"
"10000002","EN20120104066","100001","12","云电同方"
"10000002","EN20120104067","100001","12","云电同方"
"10000002","EN20120104068","100001","12","云电同方"
"10000002","EN20120104069","100001","12","云电同方"
"10000002","EN20120104070","100001","12","云电同方"
"10000002","EN20120104071","100001","203","远信科技"
"10000002","EN20120104072","100007","202","昆明能讯"
"10000003","EN20120104073","100001","203","远信科技"
"10000002","EN20120104074","100001","203","远信科技"
"10000003","EN20120104075","100003","12","云电同方"
"10000002","EN20120104076","100001","12","云电同方"
"10000002","EN20120104077","100001","12","云电同方"
"10000002","EN20120104078","100001","12","云电同方"
"10000002","EN20120104080","100001","12","云电同方"
"10000002","EN20120104081","100001","203","远信科技"
"10000003","EN20120104082","100003","12","云电同方"
"10000002","EN20120104083","100001","12","云电同方"
"10000002","EN20120104084","100001","12","云电同方"
"10000002","EN20120104085","100001","203","远信科技"
"10000003","EN20120104086","100003","12","云电同方"
"10000002","EN20120104087","100001","12","云电同方"
"10000002","EN20120104088","100001","12","云电同方"
"10000002","EN20120104089","100001","12","云电同方"
"10000003","EN20120104091","100003","12","云电同方"
"10000002","EN20120104092","100001","203","远信科技"
"10000003","EN20120104093","100003","12","云电同方"
"10000003","EN20120104094","100001","203","远信科技"
"10000002","EN20120104095","100001","12","云电同方"
"10000002","EN20120104096","100001","203","远信科技"
"10000002","EN20120104097","100001","12","云电同方"
"10000002","EN20120104098","100001","12","云电同方"
"10000002","EN20120104099","100001","203","远信科技"
"10000002","EN20120104100","100001","203","远信科技"
"10000002","EN20120104101","100001","12","云电同方"
"10000003","EN20120104102","100001","203","远信科技"
"10000002","EN20120104103","100001","203","远信科技"
"10000003","EN20120104104","100003","12","云电同方"
"10000003","EN20120104105","100003","12","云电同方"
"10000002","EN20120104106","100001","203","远信科技"
"10000003","EN20120104107","100003","12","云电同方"
"10000003","EN20120104108","100003","12","云电同方"
"10000002","EN20120104109","100001","12","云电同方"
"10000002","EN20120104110","100001","203","远信科技"
"10000002","EN20120104111","100001","12","云电同方"
"10000003","EN20120104112","100001","203","远信科技"
"10000003","EN20120104113","100003","12","云电同方"
"10000003","EN20120104114","100003","12","云电同方"
"10000002","EN20120104115","100001","203","远信科技"
"10000002","EN20120104116","100001","203","远信科技"
"10000002","EN20120104117","100001","203","远信科技"
"10000002","EN20120104118","100001","12","云电同方"
"10000002","EN20120104119","100001","203","远信科技"
"10000002","EN20120104120","100001","203","远信科技"
"10000002","EN20120104121","100001","12","云电同方"
"10000002","EN20120104122","100001","12","云电同方"
"10000003","EN20120104123","100003","202","昆明能讯"
"10000002","EN20120104124","100001","203","远信科技"
"10000002","EN20120104125","100001","203","远信科技"
"10000003","EN20120104126","100001","203","远信科技"
"10000002","EN20120104127","100001","203","远信科技"
"10000002","EN20120104128","100001","12","云电同方"
"10000002","EN20120104129","100001","12","云电同方"
"10000003","EN20120104130","100001","203","远信科技"
"10000002","EN20120104131","100001","203","远信科技"
"10000002","EN20120104132","100001","203","远信科技"
"10000003","EN20120104133","100001","203","远信科技"
"10000002","EN20120104134","100001","12","云电同方"
"10000002","EN20120104135","100001","203","远信科技"
"10000002","EN20120104136","100001","203","远信科技"
"10000002","EN20120104137","100001","203","远信科技"
