"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120701001","100003","12","云电同方"
"10000002","EN20120701002","100003","12","云电同方"
"10000002","EN20120701003","100003","12","云电同方"
"10000003","EN20120701004","100003","12","云电同方"
"10000002","EN20120701005","100003","12","云电同方"
"10000003","EN20120701006","100003","12","云电同方"
"10000002","EN20120701007","100003","12","云电同方"
"10000003","EN20120701008","100003","12","云电同方"
"10000003","EN20120701009","100001","12","云电同方"
"10000002","EN20120701010","100003","12","云电同方"
"10000002","EN20120701011","100003","12","云电同方"
"10000002","EN20120701012","100003","12","云电同方"
"10000002","EN20120701013","100003","12","云电同方"
"10000002","EN20120701014","100001","203","远信科技"
"10000002","EN20120701015","100001","203","远信科技"
"10000003","EN20120701016","100003","12","云电同方"
"10000003","EN20120701017","100003","12","云电同方"
"10000002","EN20120701018","100003","12","云电同方"
"10000003","EN20120701019","100001","12","云电同方"
"10000002","EN20120701020","100003","12","云电同方"
"10000003","EN20120701021","100003","12","云电同方"
"10000002","EN20120701022","100003","12","云电同方"
"10000003","EN20120701023","100003","12","云电同方"
"10000003","EN20120701024","100003","12","云电同方"
"10000002","EN20120702001","100001","203","远信科技"
"10000002","EN20120702002","100001","203","远信科技"
"10000002","EN20120702003","100001","12","云电同方"
"10000002","EN20120702004","100001","203","远信科技"
"10000002","EN20120702005","100001","203","远信科技"
"10000002","EN20120702006","100001","203","远信科技"
"10000002","EN20120702007","100001","203","远信科技"
"10000003","EN20120702008","100003","12","云电同方"
"10000002","EN20120702009","100001","12","云电同方"
"10000002","EN20120702010","100001","203","远信科技"
"10000002","EN20120702011","100001","12","云电同方"
"10000002","EN20120702012","100001","203","远信科技"
"10000003","EN20120702013","100003","12","云电同方"
"10000002","EN20120702014","100001","203","远信科技"
"10000002","EN20120702015","100001","203","远信科技"
"10000003","EN20120702016","100001","203","远信科技"
"10000002","EN20120702017","100001","203","远信科技"
"10000002","EN20120702018","100003","12","云电同方"
"10000002","EN20120702019","100001","203","远信科技"
"10000002","EN20120702020","100001","203","远信科技"
"10000003","EN20120702021","100001","203","远信科技"
"10000003","EN20120702022","100001","203","远信科技"
"10000002","EN20120702023","100001","203","远信科技"
"10000002","EN20120702024","100001","12","云电同方"
"10000002","EN20120702025","100003","12","云电同方"
"10000003","EN20120702026","100001","203","远信科技"
"10000003","EN20120702027","100001","203","远信科技"
"10000002","EN20120702028","100001","203","远信科技"
"10000003","EN20120702029","100001","203","远信科技"
"10000002","EN20120702030","100001","203","远信科技"
"10000002","EN20120702031","100001","203","远信科技"
"10000002","EN20120702032","100001","12","云电同方"
"10000002","EN20120702033","100003","12","云电同方"
"10000002","EN20120702034","100001","203","远信科技"
"10000003","EN20120702035","100003","12","云电同方"
"10000002","EN20120702036","100001","203","远信科技"
"10000002","EN20120702037","100001","203","远信科技"
"10000002","EN20120702038","100001","12","云电同方"
"10000003","EN20120702039","100001","203","远信科技"
"10000002","EN20120702040","100001","203","远信科技"
"10000003","EN20120702041","100003","12","云电同方"
"10000003","EN20120702042","100003","12","云电同方"
"10000002","EN20120702043","100001","12","云电同方"
"10000002","EN20120702044","100003","12","云电同方"
"10000002","EN20120702045","100001","203","远信科技"
"10000002","EN20120702046","100001","203","远信科技"
"10000002","EN20120702047","100001","12","云电同方"
"10000002","EN20120702048","100001","202","昆明能讯"
"10000003","EN20120702048","100001","202","昆明能讯"
"10000002","EN20120702049","100003","12","云电同方"
"10000002","EN20120702050","100001","203","远信科技"
"10000002","EN20120702051","100001","202","昆明能讯"
"10000003","EN20120702052","100003","12","云电同方"
"10000002","EN20120702053","100001","202","昆明能讯"
"10000002","EN20120702054","100001","203","远信科技"
"10000003","EN20120702055","100003","12","云电同方"
"10000002","EN20120702056","100001","202","昆明能讯"
"10000002","EN20120702057","100001","203","远信科技"
"10000002","EN20120702058","100001","202","昆明能讯"
"10000002","EN20120702059","100001","203","远信科技"
"10000003","EN20120702060","100003","12","云电同方"
"10000003","EN20120702061","100003","12","云电同方"
