"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120401001","100001","12","云电同方"
"10000003","EN20120401002","100003","12","云电同方"
"10000002","EN20120401003","100001","12","云电同方"
"10000002","EN20120401004","100001","203","远信科技"
"10000003","EN20120401005","100001","203","远信科技"
"10000002","EN20120401006","100001","203","远信科技"
"10000002","EN20120401007","100001","12","云电同方"
"10000002","EN20120401008","100001","12","云电同方"
"10000002","EN20120401009","100001","203","远信科技"
"10000003","EN20120401010","100003","12","云电同方"
"10000002","EN20120401011","100001","203","远信科技"
"10000002","EN20120401012","100001","203","远信科技"
"10000002","EN20120401013","100001","203","远信科技"
"10000003","EN20120401014","100003","12","云电同方"
"10000003","EN20120401015","100001","203","远信科技"
"10000002","EN20120401016","100001","203","远信科技"
"10000002","EN20120401017","100001","203","远信科技"
"10000003","EN20120401018","100001","203","远信科技"
"10000002","EN20120401019","100001","12","云电同方"
"10000002","EN20120401020","100001","12","云电同方"
"10000002","EN20120401021","100001","203","远信科技"
"10000002","EN20120401022","100001","203","远信科技"
"10000002","EN20120401023","100001","203","远信科技"
"10000002","EN20120401024","100001","12","云电同方"
"10000002","EN20120401026","100001","203","远信科技"
"10000002","EN20120401027","100001","203","远信科技"
"10000003","EN20120401028","100001","203","远信科技"
"10000003","EN20120401029","100001","203","远信科技"
"10000003","EN20120401030","100001","203","远信科技"
"10000002","EN20120401031","100001","203","远信科技"
"10000002","EN20120401032","100001","12","云电同方"
"10000002","EN20120401033","100001","203","远信科技"
"10000002","EN20120401034","100001","203","远信科技"
"10000002","EN20120401035","100001","203","远信科技"
"10000002","EN20120401036","100001","203","远信科技"
"10000002","EN20120401037","100001","203","远信科技"
"10000002","EN20120401038","100001","203","远信科技"
"10000002","EN20120401039","100001","12","云电同方"
"10000003","EN20120401040","100003","12","云电同方"
"10000002","EN20120401041","100001","12","云电同方"
"10000003","EN20120401042","100001","203","远信科技"
"10000002","EN20120401043","100001","12","云电同方"
"10000002","EN20120401044","100001","203","远信科技"
"10000002","EN20120401045","100001","12","云电同方"
"10000002","EN20120401046","100001","203","远信科技"
"10000002","EN20120401047","100001","203","远信科技"
"10000003","EN20120401048","100003","12","云电同方"
"10000002","EN20120401049","100001","12","云电同方"
"10000002","EN20120401050","100001","12","云电同方"
"10000002","EN20120401051","100001","12","云电同方"
"10000003","EN20120401052","100003","12","云电同方"
"10000002","EN20120401053","100001","12","云电同方"
"10000002","EN20120401054","100001","203","远信科技"
"10000002","EN20120401055","100001","12","云电同方"
"10000002","EN20120401056","100001","12","云电同方"
"10000002","EN20120401057","100001","12","云电同方"
"10000002","EN20120401058","100001","203","远信科技"
"10000003","EN20120401059","100003","12","云电同方"
"10000002","EN20120401060","100001","203","远信科技"
"10000002","EN20120401061","100001","203","远信科技"
"10000002","EN20120401062","100001","203","远信科技"
"10000002","EN20120401063","100001","12","云电同方"
"10000002","EN20120401064","100001","203","远信科技"
"10000002","EN20120401065","100001","203","远信科技"
"10000002","EN20120401066","100003","12","云电同方"
"10000003","EN20120401066","100003","12","云电同方"
"10000002","EN20120401067","100001","12","云电同方"
"10000002","EN20120401068","100001","203","远信科技"
"10000002","EN20120401069","100001","12","云电同方"
"10000002","EN20120401070","100001","203","远信科技"
"10000002","EN20120401071","100001","203","远信科技"
"10000003","EN20120401072","100003","12","云电同方"
"10000003","EN20120401073","100001","203","远信科技"
"10000002","EN20120401074","100001","203","远信科技"
"10000002","EN20120401075","100001","203","远信科技"
"10000003","EN20120401076","100003","12","云电同方"
"10000002","EN20120401077","100001","203","远信科技"
"10000002","EN20120401078","100001","203","远信科技"
"10000003","EN20120401079","100001","203","远信科技"
"10000002","EN20120401080","100001","12","云电同方"
"10000002","EN20120401081","100001","203","远信科技"
"10000002","EN20120401082","100001","12","云电同方"
"10000002","EN20120401083","100001","203","远信科技"
"10000002","EN20120401084","100001","203","远信科技"
"10000002","EN20120401085","100001","12","云电同方"
"10000003","EN20120401086","100003","12","云电同方"
"10000003","EN20120401087","100001","203","远信科技"
"10000003","EN20120401088","100001","203","远信科技"
"10000002","EN20120401089","100001","203","远信科技"
"10000002","EN20120401090","100001","12","云电同方"
"10000002","EN20120401091","100001","12","云电同方"
"10000002","EN20120401092","100001","203","远信科技"
"10000003","EN20120401093","100001","203","远信科技"
"10000002","EN20120401094","100001","12","云电同方"
"10000002","EN20120401096","100001","12","云电同方"
"10000002","EN20120401097","100001","203","远信科技"
"10000003","EN20120401098","100001","203","远信科技"
"10000002","EN20120401099","100001","12","云电同方"
"10000003","EN20120401100","100003","12","云电同方"
"10000003","EN20120401101","100001","203","远信科技"
"10000002","EN20120401102","100001","12","云电同方"
"10000002","EN20120401103","100001","203","远信科技"
"10000002","EN20120401104","100001","12","云电同方"
"10000002","EN20120401105","100001","203","远信科技"
"10000002","EN20120401106","100001","203","远信科技"
"10000002","EN20120401107","100001","203","远信科技"
"10000002","EN20120401108","100001","203","远信科技"
"10000002","EN20120401109","100001","12","云电同方"
"10000003","EN20120401110","100003","12","云电同方"
"10000002","EN20120401111","100001","203","远信科技"
"10000002","EN20120401112","100001","203","远信科技"
"10000002","EN20120401113","100001","12","云电同方"
"10000002","EN20120401114","100001","203","远信科技"
"10000002","EN20120401115","100001","12","云电同方"
"10000002","EN20120401116","100001","12","云电同方"
"10000002","EN20120401117","100001","203","远信科技"
"10000002","EN20120401118","100001","12","云电同方"
"10000002","EN20120401119","100001","12","云电同方"
"10000002","EN20120401120","100001","203","远信科技"
"10000002","EN20120401121","100001","12","云电同方"
"10000002","EN20120401122","100001","203","远信科技"
"10000002","EN20120401123","100001","203","远信科技"
"10000002","EN20120401124","100001","203","远信科技"
"10000002","EN20120401125","100001","203","远信科技"
"10000002","EN20120401126","100001","203","远信科技"
"10000002","EN20120401127","100001","12","云电同方"
"10000002","EN20120401129","100001","203","远信科技"
"10000002","EN20120401130","100001","203","远信科技"
"10000002","EN20120401131","100001","12","云电同方"
"10000002","EN20120401132","100001","203","远信科技"
"10000002","EN20120401133","100001","203","远信科技"
"10000002","EN20120401134","100001","203","远信科技"
"10000003","EN20120401135","100003","12","云电同方"
"10000002","EN20120401136","100001","12","云电同方"
"10000002","EN20120401138","100001","12","云电同方"
"10000002","EN20120401139","100001","12","云电同方"
"10000002","EN20120401140","100001","12","云电同方"
"10000002","EN20120401141","100001","12","云电同方"
"10000002","EN20120401142","100001","12","云电同方"
"10000002","EN20120401143","100001","12","云电同方"
"10000002","EN20120401144","100001","12","云电同方"
"10000002","EN20120401145","100001","12","云电同方"
"10000002","EN20120401146","100010","12","云电同方"
"10000002","EN20120401147","100001","12","云电同方"
"10000002","EN20120401148","100001","12","云电同方"
"10000002","EN20120401149","100001","12","云电同方"
"10000002","EN20120401150","100001","12","云电同方"
"10000003","EN20120401151","100003","12","云电同方"
"10000002","EN20120401152","100001","12","云电同方"
"10000002","EN20120401153","100001","203","远信科技"
"10000003","EN20120401154","100003","12","云电同方"
"10000002","EN20120401155","100001","12","云电同方"
"10000002","EN20120401156","100001","203","远信科技"
"10000002","EN20120401157","100001","12","云电同方"
"10000003","EN20120401158","100001","12","云电同方"
"10000003","EN20120401159","100001","203","远信科技"
"10000003","EN20120401160","100001","12","云电同方"
"10000003","EN20120401161","100003","12","云电同方"
"10000002","EN20120401162","100001","203","远信科技"
"10000002","EN20120401163","100001","203","远信科技"
"10000003","EN20120401164","100003","12","云电同方"
"10000002","EN20120401165","100001","203","远信科技"
"10000003","EN20120401166","100001","203","远信科技"
"10000002","EN20120401167","100001","203","远信科技"
"10000002","EN20120401168","100001","12","云电同方"
"10000002","EN20120401169","100001","203","远信科技"
"10000002","EN20120401170","100001","12","云电同方"
"10000002","EN20120401171","100001","12","云电同方"
"10000002","EN20120401172","100003","202","昆明能讯"
"10000002","EN20120401173","100001","203","远信科技"
"10000002","EN20120401174","100001","12","云电同方"
"10000003","EN20120401175","100003","12","云电同方"
"10000002","EN20120401176","100001","203","远信科技"
"10000002","EN20120401177","100001","12","云电同方"
"10000002","EN20120401178","100001","12","云电同方"
"10000002","EN20120401179","100001","203","远信科技"
"10000002","EN20120401180","100001","203","远信科技"
"10000002","EN20120401181","100001","203","远信科技"
"10000002","EN20120401182","100001","12","云电同方"
"10000002","EN20120401183","100001","12","云电同方"
"10000002","EN20120401184","100001","12","云电同方"
"10000003","EN20120401185","100001","203","远信科技"
"10000002","EN20120401186","100001","203","远信科技"
"10000003","EN20120401187","100001","203","远信科技"
"10000002","EN20120401188","100001","203","远信科技"
"10000002","EN20120401189","100001","12","云电同方"
"10000002","EN20120401190","100001","12","云电同方"
"10000002","EN20120401191","100001","12","云电同方"
"10000002","EN20120401192","100001","12","云电同方"
"10000003","EN20120401193","100003","12","云电同方"
"10000003","EN20120401194","100003","12","云电同方"
"10000002","EN20120401195","100001","203","远信科技"
"10000002","EN20120401196","100001","203","远信科技"
"10000002","EN20120401197","100001","12","云电同方"
"10000002","EN20120401198","100001","203","远信科技"
"10000002","EN20120401199","100001","203","远信科技"
"10000003","EN20120401200","100003","12","云电同方"
"10000003","EN20120401201","100001","203","远信科技"
"10000002","EN20120401202","100001","203","远信科技"
"10000002","EN20120401203","100001","203","远信科技"
"10000003","EN20120401204","100003","12","云电同方"
"10000002","EN20120401205","100001","12","云电同方"
"10000002","EN20120401206","100001","12","云电同方"
"10000002","EN20120401207","100001","203","远信科技"
"10000002","EN20120401208","100001","203","远信科技"
"10000002","EN20120401209","100001","12","云电同方"
"10000002","EN20120401210","100001","203","远信科技"
"10000002","EN20120401211","100001","203","远信科技"
"10000003","EN20120401212","100001","12","云电同方"
"10000003","EN20120401213","100003","12","云电同方"
"10000003","EN20120401214","100003","12","云电同方"
"10000002","EN20120401215","100001","203","远信科技"
"10000003","EN20120401216","100003","12","云电同方"
"10000002","EN20120401217","100001","203","远信科技"
"10000003","EN20120401218","100001","203","远信科技"
"10000002","EN20120401219","100001","203","远信科技"
"10000003","EN20120401220","100001","12","云电同方"
"10000002","EN20120401221","100001","12","云电同方"
"10000002","EN20120401222","100001","203","远信科技"
"10000002","EN20120401223","100001","203","远信科技"
"10000002","EN20120401224","100001","12","云电同方"
"10000002","EN20120401225","100001","12","云电同方"
"10000002","EN20120401226","100001","12","云电同方"
"10000002","EN20120401227","100001","202","昆明能讯"
"10000003","EN20120401228","100003","12","云电同方"
"10000003","EN20120401229","100003","12","云电同方"
"10000002","EN20120401230","100001","12","云电同方"
"10000002","EN20120401231","100001","203","远信科技"
"10000002","EN20120401232","100001","203","远信科技"
"10000002","EN20120401233","100001","12","云电同方"
"10000002","EN20120401234","100001","203","远信科技"
"10000002","EN20120401235","100001","203","远信科技"
"10000002","EN20120401236","100001","203","远信科技"
"10000002","EN20120401237","100001","12","云电同方"
"10000003","EN20120401238","100001","203","远信科技"
"10000002","EN20120401239","100001","203","远信科技"
"10000002","EN20120401240","100001","12","云电同方"
"10000002","EN20120401241","100001","203","远信科技"
"10000002","EN20120401242","100001","203","远信科技"
"10000002","EN20120401243","100001","203","远信科技"
"10000002","EN20120401244","100001","203","远信科技"
"10000002","EN20120401245","100001","203","远信科技"
"10000002","EN20120401246","100001","203","远信科技"
"10000003","EN20120401247","100001","203","远信科技"
"10000002","EN20120401248","100001","203","远信科技"
"10000003","EN20120401249","100001","203","远信科技"
"10000002","EN20120401250","100001","203","远信科技"
"10000002","EN20120401251","100001","12","云电同方"
"10000002","EN20120401252","100001","12","云电同方"
"10000002","EN20120401253","100001","12","云电同方"
"10000002","EN20120401254","100001","202","昆明能讯"
"10000003","EN20120401255","100003","12","云电同方"
"10000003","EN20120401256","100003","12","云电同方"
"10000002","EN20120401258","100001","12","云电同方"
"10000002","EN20120401259","100001","203","远信科技"
"10000002","EN20120401260","100001","12","云电同方"
"10000002","EN20120401261","100001","12","云电同方"
"10000002","EN20120401262","100001","203","远信科技"
"10000003","EN20120401263","100001","203","远信科技"
"10000002","EN20120401264","100001","12","云电同方"
"10000002","EN20120401265","100001","203","远信科技"
"10000002","EN20120401266","100001","12","云电同方"
"10000002","EN20120401268","100001","203","远信科技"
"10000002","EN20120401269","100001","203","远信科技"
"10000002","EN20120401270","100001","12","云电同方"
"10000002","EN20120401271","100001","203","远信科技"
"10000002","EN20120401272","100001","12","云电同方"
"10000002","EN20120401273","100001","203","远信科技"
"10000002","EN20120401274","100001","203","远信科技"
"10000002","EN20120401275","100001","12","云电同方"
"10000002","EN20120401276","100001","12","云电同方"
"10000002","EN20120401277","100001","203","远信科技"
"10000002","EN20120401278","100001","12","云电同方"
"10000002","EN20120401279","100001","203","远信科技"
"10000002","EN20120401280","100001","12","云电同方"
"10000002","EN20120401281","100001","203","远信科技"
"10000003","EN20120401282","100003","12","云电同方"
"10000002","EN20120401283","100001","12","云电同方"
"10000002","EN20120401284","100003","12","云电同方"
"10000003","EN20120401284","100003","12","云电同方"
"10000002","EN20120401285","100001","203","远信科技"
"10000002","EN20120401286","100001","203","远信科技"
"10000002","EN20120401287","100001","12","云电同方"
"10000002","EN20120401288","100001","203","远信科技"
"10000002","EN20120401289","100001","203","远信科技"
"10000002","EN20120401290","100001","12","云电同方"
"10000002","EN20120401291","100001","12","云电同方"
"10000002","EN20120401293","100001","12","云电同方"
"10000002","EN20120401294","100001","12","云电同方"
"10000003","EN20120401295","100003","12","云电同方"
"10000002","EN20120401296","100001","203","远信科技"
"10000003","EN20120401297","100003","12","云电同方"
"10000002","EN20120401298","100001","203","远信科技"
"10000002","EN20120401299","100001","12","云电同方"
"10000002","EN20120401300","100001","12","云电同方"
"10000002","EN20120401301","100001","12","云电同方"
"10000002","EN20120401302","100001","12","云电同方"
"10000002","EN20120401303","100001","12","云电同方"
"10000003","EN20120401304","100003","12","云电同方"
"10000002","EN20120401305","100001","203","远信科技"
"10000002","EN20120401306","100001","203","远信科技"
"10000002","EN20120401307","100001","12","云电同方"
"10000002","EN20120401308","100001","12","云电同方"
"10000002","EN20120401309","100001","12","云电同方"
"10000002","EN20120401310","100001","203","远信科技"
"10000002","EN20120401311","100001","12","云电同方"
"10000002","EN20120401312","100001","203","远信科技"
"10000002","EN20120401313","100001","12","云电同方"
"10000002","EN20120401315","100001","12","云电同方"
"10000002","EN20120401316","100001","203","远信科技"
"10000002","EN20120401317","100001","12","云电同方"
"10000002","EN20120401318","100001","12","云电同方"
"10000002","EN20120401319","100001","12","云电同方"
"10000003","EN20120401320","100003","12","云电同方"
"10000002","EN20120401321","100001","12","云电同方"
"10000002","EN20120401322","100001","12","云电同方"
"10000002","EN20120401323","100001","202","昆明能讯"
"10000002","EN20120402001","100001","203","远信科技"
"10000002","EN20120402002","100001","12","云电同方"
"10000002","EN20120402003","100001","12","云电同方"
"10000002","EN20120402004","100001","12","云电同方"
"10000002","EN20120402005","100001","12","云电同方"
"10000003","EN20120402006","100001","203","远信科技"
"10000002","EN20120402007","100001","12","云电同方"
"10000002","EN20120402008","100001","12","云电同方"
"10000002","EN20120402009","100001","12","云电同方"
"10000002","EN20120402010","100001","202","昆明能讯"
"10000002","EN20120402011","100001","12","云电同方"
"10000002","EN20120402012","100001","202","昆明能讯"
"10000002","EN20120402013","100001","202","昆明能讯"
"10000002","EN20120402014","100001","202","昆明能讯"
"10000002","EN20120402015","100001","202","昆明能讯"
"10000002","EN20120402016","100001","203","远信科技"
"10000002","EN20120402017","100001","202","昆明能讯"
"10000002","EN20120402018","100001","202","昆明能讯"
"10000002","EN20120402019","100001","202","昆明能讯"
"10000002","EN20120402020","100001","202","昆明能讯"
"10000002","EN20120402021","100001","202","昆明能讯"
"10000002","EN20120402022","100001","202","昆明能讯"
"10000002","EN20120402023","100003","202","昆明能讯"
"10000002","EN20120402024","100003","202","昆明能讯"
"10000002","EN20120402025","100001","202","昆明能讯"
"10000002","EN20120402026","100001","202","昆明能讯"
"10000003","EN20120402027","100003","12","云电同方"
"10000003","EN20120402028","100001","203","远信科技"
"10000002","EN20120402029","100001","12","云电同方"
"10000002","EN20120402030","100001","12","云电同方"
"10000002","EN20120402031","100001","12","云电同方"
"10000003","EN20120402032","100001","12","云电同方"
"10000002","EN20120403001","100001","203","远信科技"
"10000002","EN20120403002","100001","12","云电同方"
"10000002","EN20120403003","100001","12","云电同方"
"10000003","EN20120403004","100003","12","云电同方"
"10000002","EN20120403005","100001","12","云电同方"
"10000002","EN20120403006","100001","12","云电同方"
"10000002","EN20120403007","100001","12","云电同方"
"10000003","EN20120403008","100003","12","云电同方"
"10000002","EN20120403009","100001","12","云电同方"
"10000003","EN20120403010","100003","12","云电同方"
"10000003","EN20120403011","100003","12","云电同方"
"10000002","EN20120403012","100001","12","云电同方"
"10000002","EN20120403013","100001","203","远信科技"
"10000003","EN20120403014","100003","12","云电同方"
"10000002","EN20120403015","100001","202","昆明能讯"
"10000002","EN20120403016","100001","12","云电同方"
"10000002","EN20120403017","100001","202","昆明能讯"
"10000002","EN20120403018","100001","202","昆明能讯"
"10000003","EN20120403019","100003","12","云电同方"
"10000002","EN20120403020","100001","202","昆明能讯"
"10000002","EN20120403021","100001","202","昆明能讯"
"10000002","EN20120403022","100001","12","云电同方"
"10000003","EN20120404001","100001","12","云电同方"
"10000002","EN20120404002","100001","12","云电同方"
"10000003","EN20120404003","100003","12","云电同方"
"10000003","EN20120404004","100003","12","云电同方"
"10000003","EN20120404005","100001","203","远信科技"
"10000003","EN20120404006","100003","12","云电同方"
"10000003","EN20120405001","100003","12","云电同方"
"10000002","EN20120405002","100001","203","远信科技"
"10000003","EN20120405003","100001","203","远信科技"
"10000002","EN20120405004","100001","12","云电同方"
"10000002","EN20120405005","100001","203","远信科技"
"10000002","EN20120405006","100001","203","远信科技"
"10000002","EN20120405007","100001","203","远信科技"
"10000002","EN20120405008","100001","12","云电同方"
"10000003","EN20120405009","100001","203","远信科技"
"10000002","EN20120405010","100001","203","远信科技"
"10000002","EN20120405011","100001","203","远信科技"
"10000002","EN20120405012","100001","203","远信科技"
"10000003","EN20120405013","100001","203","远信科技"
"10000002","EN20120405014","100001","12","云电同方"
"10000002","EN20120405015","100001","203","远信科技"
"10000002","EN20120405016","100001","203","远信科技"
"10000002","EN20120405017","100001","203","远信科技"
"10000003","EN20120405018","100001","203","远信科技"
"10000002","EN20120405019","100001","12","云电同方"
"10000002","EN20120405020","100001","203","远信科技"
"10000002","EN20120405021","100001","12","云电同方"
"10000002","EN20120405022","100001","12","云电同方"
"10000002","EN20120405023","100001","12","云电同方"
"10000002","EN20120405024","100001","203","远信科技"
"10000002","EN20120405025","100001","203","远信科技"
"10000002","EN20120405026","100001","12","云电同方"
"10000003","EN20120405027","100003","12","云电同方"
"10000003","EN20120405028","100003","12","云电同方"
"10000003","EN20120405029","100003","202","昆明能讯"
"10000003","EN20120405030","100003","12","云电同方"
"10000002","EN20120405031","100001","203","远信科技"
"10000002","EN20120405032","100001","203","远信科技"
"10000002","EN20120405033","100001","203","远信科技"
"10000003","EN20120405034","100001","203","远信科技"
"10000003","EN20120405035","100003","12","云电同方"
"10000002","EN20120405036","100001","12","云电同方"
"10000002","EN20120405037","100001","203","远信科技"
"10000002","EN20120405038","100001","12","云电同方"
"10000002","EN20120405039","100001","202","昆明能讯"
"10000002","EN20120405040","100001","203","远信科技"
"10000003","EN20120405041","100001","203","远信科技"
"10000003","EN20120405042","100001","203","远信科技"
"10000002","EN20120405043","100001","203","远信科技"
"10000003","EN20120405044","100001","203","远信科技"
"10000002","EN20120405046","100001","203","远信科技"
"10000002","EN20120405047","100001","203","远信科技"
"10000002","EN20120405048","100001","203","远信科技"
"10000002","EN20120405049","100001","12","云电同方"
"10000002","EN20120405050","100001","203","远信科技"
"10000002","EN20120405051","100001","203","远信科技"
"10000002","EN20120405052","100001","12","云电同方"
"10000002","EN20120405053","100001","203","远信科技"
"10000002","EN20120405054","100001","203","远信科技"
"10000002","EN20120405055","100001","203","远信科技"
"10000002","EN20120405056","100001","203","远信科技"
"10000002","EN20120405057","100001","12","云电同方"
"10000002","EN20120405058","100001","12","云电同方"
"10000002","EN20120405059","100001","12","云电同方"
"10000002","EN20120405060","100001","203","远信科技"
"10000003","EN20120405061","100003","12","云电同方"
"10000003","EN20120405062","100003","12","云电同方"
"10000003","EN20120405063","100001","203","远信科技"
"10000002","EN20120405064","100001","203","远信科技"
"10000002","EN20120405065","100001","203","远信科技"
"10000002","EN20120405066","100001","203","远信科技"
"10000002","EN20120405067","100001","203","远信科技"
"10000002","EN20120405068","100001","203","远信科技"
"10000003","EN20120405069","100003","12","云电同方"
"10000003","EN20120405070","100001","203","远信科技"
"10000002","EN20120405071","100001","203","远信科技"
"10000002","EN20120405072","100001","203","远信科技"
"10000002","EN20120405073","100001","12","云电同方"
"10000002","EN20120405074","100001","203","远信科技"
"10000002","EN20120405075","100001","203","远信科技"
"10000003","EN20120405076","100001","203","远信科技"
"10000002","EN20120405077","100001","203","远信科技"
"10000002","EN20120405078","100001","203","远信科技"
"10000002","EN20120405079","100001","203","远信科技"
"10000002","EN20120405080","100001","203","远信科技"
"10000002","EN20120405081","100001","12","云电同方"
"10000002","EN20120405082","100001","203","远信科技"
"10000003","EN20120405083","100001","203","远信科技"
"10000002","EN20120405084","100001","203","远信科技"
"10000002","EN20120405085","100001","203","远信科技"
"10000002","EN20120405086","100001","203","远信科技"
"10000002","EN20120405087","100001","203","远信科技"
"10000003","EN20120405088","100001","203","远信科技"
"10000002","EN20120405089","100001","203","远信科技"
"10000003","EN20120405090","100003","12","云电同方"
"10000002","EN20120405091","100001","12","云电同方"
"10000002","EN20120405092","100001","203","远信科技"
"10000002","EN20120405093","100001","203","远信科技"
"10000002","EN20120405094","100001","12","云电同方"
