"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20121001001","100001","12","云电同方"
"10000002","EN20121001002","100001","12","云电同方"
"10000002","EN20121001003","100001","12","云电同方"
"10000002","EN20121001004","100003","202","昆明能讯"
"10000002","EN20121001005","100001","12","云电同方"
"10000002","EN20121001006","100001","12","云电同方"
"10000002","EN20121001007","100001","12","云电同方"
"10000002","EN20121001008","100001","12","云电同方"
"10000002","EN20121001009","100001","12","云电同方"
"10000002","EN20121001010","100001","12","云电同方"
"10000003","EN20121001011","100003","12","云电同方"
"10000002","EN20121001012","100001","12","云电同方"
"10000002","EN20121001013","100001","12","云电同方"
"10000003","EN20121001014","100003","12","云电同方"
"10000003","EN20121001015","100003","12","云电同方"
"10000003","EN20121001016","100003","12","云电同方"
"10000002","EN20121001017","100001","12","云电同方"
"10000002","EN20121001018","100001","12","云电同方"
"10000002","EN20121001019","100001","12","云电同方"
"10000002","EN20121001020","100001","12","云电同方"
"10000002","EN20121001021","100001","12","云电同方"
"10000003","EN20121001022","100003","12","云电同方"
"10000002","EN20121001023","100001","12","云电同方"
"10000002","EN20121001024","100001","12","云电同方"
"10000002","EN20121001025","100003","12","云电同方"
"10000003","EN20121001025","100003","12","云电同方"
"10000002","EN20121001026","100001","12","云电同方"
"10000002","EN20121001027","100001","12","云电同方"
"10000002","EN20121001028","100001","12","云电同方"
"10000003","EN20121001029","100003","12","云电同方"
"10000002","EN20121001030","100001","203","远信科技"
"10000002","EN20121001031","100001","12","云电同方"
"10000003","EN20121002001","100001","12","云电同方"
"10000003","EN20121002002","100001","12","云电同方"
"10000002","EN20121002003","100001","12","云电同方"
"10000003","EN20121002004","100003","12","云电同方"
"10000003","EN20121002005","100003","202","昆明能讯"
"10000002","EN20121002006","100001","12","云电同方"
"10000003","EN20121002007","100003","202","昆明能讯"
"10000003","EN20121002008","100003","12","云电同方"
"10000002","EN20121002009","100001","202","昆明能讯"
"10000002","EN20121002010","100001","202","昆明能讯"
"10000003","EN20121002011","100003","12","云电同方"
"10000002","EN20121002012","100001","12","云电同方"
"10000003","EN20121003001","100003","12","云电同方"
"10000002","EN20121003002","100001","202","昆明能讯"
"10000002","EN20121003003","100001","202","昆明能讯"
"10000002","EN20121003004","100001","202","昆明能讯"
"10000002","EN20121003005","100001","202","昆明能讯"
"10000002","EN20121003006","100001","202","昆明能讯"
"10000002","EN20121003007","100001","202","昆明能讯"
"10000002","EN20121003008","100001","203","远信科技"
"10000002","EN20121003009","100001","202","昆明能讯"
"10000002","EN20121003010","100001","12","云电同方"
"10000002","EN20121003011","100001","12","云电同方"
"10000002","EN20121003012","100001","203","远信科技"
"10000002","EN20121003013","100001","12","云电同方"
"10000003","EN20121003014","100003","12","云电同方"
"10000002","EN20121003015","100001","12","云电同方"
"10000002","EN20121003016","100001","12","云电同方"
"10000002","EN20121003017","100001","12","云电同方"
"10000002","EN20121003018","100001","12","云电同方"
"10000003","EN20121003019","100001","12","云电同方"
"10000002","EN20121003020","100001","203","远信科技"
"10000002","EN20121003021","100001","203","远信科技"
"10000002","EN20121003022","100001","203","远信科技"
"10000003","EN20121004001","100003","12","云电同方"
"10000002","EN20121004002","100001","12","云电同方"
"10000003","EN20121004003","100003","12","云电同方"
"10000002","EN20121004004","100001","12","云电同方"
"10000002","EN20121004005","100001","12","云电同方"
"10000002","EN20121004006","100001","12","云电同方"
"10000003","EN20121004007","100003","12","云电同方"
"10000003","EN20121004008","100003","12","云电同方"
"10000003","EN20121004009","100003","12","云电同方"
"10000003","EN20121004010","100003","12","云电同方"
"10000003","EN20121004011","100003","12","云电同方"
"10000002","EN20121005001","100001","202","昆明能讯"
"10000002","EN20121005002","100001","202","昆明能讯"
"10000002","EN20121005003","100001","202","昆明能讯"
"10000002","EN20121005004","100001","202","昆明能讯"
"10000002","EN20121005005","100001","202","昆明能讯"
"10000002","EN20121005006","100001","202","昆明能讯"
"10000003","EN20121005007","100003","202","昆明能讯"
"10000002","EN20121005008","100001","202","昆明能讯"
"10000002","EN20121005009","100001","202","昆明能讯"
"10000002","EN20121005010","100001","202","昆明能讯"
"10000002","EN20121005011","100001","202","昆明能讯"
"10000002","EN20121005012","100001","12","云电同方"
"10000002","EN20121005013","100001","202","昆明能讯"
"10000002","EN20121005014","100001","12","云电同方"
"10000002","EN20121005015","100001","202","昆明能讯"
"10000002","EN20121005016","100001","202","昆明能讯"
"10000002","EN20121005017","100001","202","昆明能讯"
"10000002","EN20121005018","100001","202","昆明能讯"
"10000002","EN20121005019","100001","202","昆明能讯"
"10000002","EN20121005020","100001","202","昆明能讯"
"10000002","EN20121005021","100001","202","昆明能讯"
"10000002","EN20121005022","100001","12","云电同方"
"10000002","EN20121005023","100001","202","昆明能讯"
"10000003","EN20121005024","100003","12","云电同方"
"10000002","EN20121005025","100001","12","云电同方"
"10000002","EN20121005026","100001","12","云电同方"
"10000002","EN20121005027","100001","12","云电同方"
"10000003","EN20121005028","100003","12","云电同方"
"10000002","EN20121005029","100001","12","云电同方"
"10000003","EN20121005030","100001","12","云电同方"
"10000002","EN20121005031","100001","12","云电同方"
"10000002","EN20121005032","100001","12","云电同方"
"10000002","EN20121005033","100001","12","云电同方"
"10000002","EN20121005034","100001","203","远信科技"
"10000002","EN20121005035","100001","12","云电同方"
"10000002","EN20121005036","100001","12","云电同方"
"10000002","EN20121006001","100001","202","昆明能讯"
"10000003","EN20121006002","100003","12","云电同方"
"10000002","EN20121006003","100001","12","云电同方"
"10000003","EN20121006004","100003","202","昆明能讯"
"10000003","EN20121006005","100003","202","昆明能讯"
"10000002","EN20121006006","100001","12","云电同方"
"10000002","EN20121006007","100001","12","云电同方"
"10000002","EN20121006008","100001","203","远信科技"
"10000002","EN20121006009","100001","202","昆明能讯"
"10000002","EN20121006010","100001","202","昆明能讯"
"10000002","EN20121006011","100001","202","昆明能讯"
"10000002","EN20121006012","100001","202","昆明能讯"
"10000002","EN20121006013","100001","202","昆明能讯"
"10000002","EN20121006014","100001","202","昆明能讯"
"10000002","EN20121006015","100001","202","昆明能讯"
"10000002","EN20121006016","100001","202","昆明能讯"
"10000002","EN20121006017","100001","203","远信科技"
"10000002","EN20121006018","100001","12","云电同方"
"10000002","EN20121007001","100001","12","云电同方"
"10000002","EN20121007003","100001","12","云电同方"
"10000002","EN20121007004","100001","12","云电同方"
"10000002","EN20121007005","100001","12","云电同方"
"10000002","EN20121007006","100001","12","云电同方"
"10000002","EN20121007007","100001","12","云电同方"
"10000002","EN20121007008","100001","12","云电同方"
"10000002","EN20121007009","100001","12","云电同方"
"10000002","EN20121007010","100001","12","云电同方"
"10000002","EN20121007011","100001","12","云电同方"
"10000002","EN20121007012","100001","12","云电同方"
"10000002","EN20121007013","100001","12","云电同方"
"10000002","EN20121007014","100001","12","云电同方"
"10000002","EN20121007015","100001","12","云电同方"
"10000002","EN20121007016","100001","202","昆明能讯"
"10000002","EN20121007017","100001","12","云电同方"
"10000002","EN20121007018","100001","12","云电同方"
"10000002","EN20121007019","100001","202","昆明能讯"
"10000002","EN20121007020","100001","12","云电同方"
"10000002","EN20121007021","100001","202","昆明能讯"
"10000002","EN20121007022","100001","12","云电同方"
"10000003","EN20121007023","100001","12","云电同方"
"10000002","EN20121007024","100001","12","云电同方"
"10000002","EN20121007025","100001","12","云电同方"
"10000002","EN20121007026","100001","12","云电同方"
"10000002","EN20121007027","100001","202","昆明能讯"
"10000002","EN20121007028","100001","12","云电同方"
"10000002","EN20121007029","100001","202","昆明能讯"
"10000002","EN20121007030","100001","202","昆明能讯"
"10000002","EN20121007031","100001","202","昆明能讯"
"10000002","EN20121007032","100001","202","昆明能讯"
"10000002","EN20121007033","100001","202","昆明能讯"
"10000002","EN20121007034","100001","12","云电同方"
"10000002","EN20121008001","100001","12","云电同方"
"10000002","EN20121008002","100001","202","昆明能讯"
"10000002","EN20121008003","100001","12","云电同方"
"10000002","EN20121008004","100001","203","远信科技"
"10000002","EN20121008005","100001","202","昆明能讯"
"10000002","EN20121008006","100001","202","昆明能讯"
"10000002","EN20121008007","100001","203","远信科技"
"10000003","EN20121008008","100003","19","楚雄供电局"
"10000002","EN20121008009","100001","12","云电同方"
"10000002","EN20121008010","100001","12","云电同方"
"10000002","EN20121008011","100001","202","昆明能讯"
"10000002","EN20121008013","100003","203","远信科技"
"10000002","EN20121008016","100001","202","昆明能讯"
"10000002","EN20121008017","100001","12","云电同方"
"10000002","EN20121008018","100001","203","远信科技"
"10000002","EN20121008019","100001","203","远信科技"
"10000003","EN20121008020","100001","203","远信科技"
"10000003","EN20121008021","100003","19","楚雄供电局"
"10000002","EN20121008022","100001","203","远信科技"
"10000002","EN20121008023","100001","202","昆明能讯"
"10000002","EN20121008024","100001","12","云电同方"
"10000002","EN20121008025","100001","202","昆明能讯"
"10000002","EN20121008026","100001","203","远信科技"
"10000002","EN20121008027","100001","203","远信科技"
"10000002","EN20121008029","100001","203","远信科技"
"10000002","EN20121008030","100001","203","远信科技"
"10000002","EN20121008032","100001","12","云电同方"
"10000002","EN20121008033","100001","203","远信科技"
"10000002","EN20121008034","100001","202","昆明能讯"
