"   ","SOLVEID","TRANSACTIONID","CLOSEID"
"1","10000002","EN20130101001","100001"
"2","10000002","EN20130101002","100001"
"3","10000002","EN20130101003","100001"
"4","10000002","EN20130101004","100001"
"5","10000002","EN20130101005","100001"
"6","10000002","EN20130101006","100001"
"7","10000002","EN20130101007","100001"
"8","10000002","EN20130101008","100001"
"9","10000002","EN20130101009","100001"
"10","10000002","EN20130101011","100001"
"11","10000002","EN20130101012","100001"
"12","10000002","EN20130101013","100001"
"13","10000002","EN20130101014","100001"
"14","10000002","EN20130101015","100001"
"15","10000002","EN20130101016","100001"
"16","10000002","EN20130101017","100001"
"17","10000002","EN20130101018","100001"
"18","10000002","EN20130101019","100001"
"19","10000003","EN20130101020","100003"
"20","10000002","EN20130101021","100001"
"21","10000002","EN20130101022","100001"
"22","10000002","EN20130101023","100001"
"23","10000002","EN20130101024","100001"
"24","10000002","EN20130101025","100001"
"25","10000003","EN20130101026","100003"
"26","10000002","EN20130101027","100001"
"27","10000002","EN20130101028","100001"
"28","10000002","EN20130101029","100001"
"29","10000002","EN20130101030","100001"
"30","10000002","EN20130101031","100001"
"31","10000002","EN20130101032","100001"
"32","10000002","EN20130101033","100001"
"33","10000003","EN20130101034","100003"
"34","10000002","EN20130101035","100001"
"35","10000003","EN20130101035","100001"
"36","10000002","EN20130101036","100001"
"37","10000002","EN20130101037","100001"
"38","10000002","EN20130101038","100001"
"39","10000002","EN20130101039","100001"
"40","10000002","EN20130101040","100001"
"41","10000002","EN20130101041","100001"
"42","10000004","EN20130101042","100005"
"43","10000002","EN20130101043","100001"
"44","10000004","EN20130101044","100005"
"45","10000002","EN20130101045","100001"
"46","10000002","EN20130101046","100001"
"47","10000002","EN20130101047","100001"
"48","10000003","EN20130101048","100003"
"49","10000002","EN20130101049","100001"
"50","10000002","EN20130101050","100001"
"51","10000002","EN20130101051","100001"
"52","10000003","EN20130101052","100003"
"53","10000002","EN20130101053","100001"
"54","10000002","EN20130101054","100001"
"55","10000002","EN20130101055","100003"
"56","10000002","EN20130101056","100001"
"57","10000003","EN20130101057","100003"
"58","10000002","EN20130101058","100001"
"59","10000002","EN20130101059","100001"
"60","10000002","EN20130101060","100001"
"61","10000002","EN20130101061","100001"
"62","10000002","EN20130101062","100001"
"63","10000002","EN20130101063","100001"
"64","10000002","EN20130101064","100001"
"65","10000003","EN20130101064","100001"
"66","10000002","EN20130101065","100001"
"67","10000003","EN20130101066","100003"
"68","10000002","EN20130101067","100001"
"69","10000002","EN20130101068","100001"
"70","10000002","EN20130101069","100001"
"71","10000002","EN20130101070","100001"
"72","10000002","EN20130101071","100001"
"73","10000002","EN20130101072","100001"
"74","10000002","EN20130101073","100001"
"75","10000003","EN20130101074","100001"
"76","10000002","EN20130101080","100001"
"77","10000002","EN20130101081","100001"
"78","10000002","EN20130102001","100001"
"79","10000002","EN20130102002","100001"
"80","10000002","EN20130102003","100001"
"81","10000002","EN20130102004","100001"
"82","10000002","EN20130102005","100001"
"83","10000002","EN20130102006","100001"
"84","10000002","EN20130102007","100001"
"85","10000002","EN20130102008","100001"
"86","10000002","EN20130102009","100001"
"87","10000002","EN20130102010","100001"
"88","10000002","EN20130102011","100001"
"89","10000002","EN20130102012","100001"
"90","10000002","EN20130102013","100001"
"91","10000002","EN20130102014","100001"
"92","10000002","EN20130102015","100001"
"93","10000002","EN20130102016","100001"
"94","10000002","EN20130102017","100001"
"95","10000002","EN20130102018","100001"
"96","10000002","EN20130102019","100001"
"97","10000002","EN20130103001","100001"
"98","10000002","EN20130103002","100001"
"99","10000003","EN20130103003","100001"
"100","10000002","EN20130103004","100001"
"101","10000002","EN20130103005","100003"
"102","10000003","EN20130103005","100003"
"103","10000002","EN20130103006","100003"
"104","10000003","EN20130103006","100003"
"105","10000002","EN20130103007","100003"
"106","10000003","EN20130103007","100003"
"107","10000002","EN20130103008","100001"
"108","10000003","EN20130103009","100003"
"109","10000002","EN20130103010","100001"
"110","10000002","EN20130103011","100001"
"111","10000002","EN20130103012","100001"
