"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20130101001","100001","202","昆明能讯"
"10000002","EN20130101002","100001","202","昆明能讯"
"10000002","EN20130101003","100001","202","昆明能讯"
"10000002","EN20130101004","100001","203","远信科技"
"10000002","EN20130101005","100001","12","云电同方"
"10000002","EN20130101006","100001","12","云电同方"
"10000002","EN20130101007","100001","209","信息中心"
"10000002","EN20130101008","100001","202","昆明能讯"
"10000002","EN20130101009","100001","12","云电同方"
"10000002","EN20130101011","100001","202","昆明能讯"
"10000002","EN20130101012","100001","12","云电同方"
"10000002","EN20130101013","100001","202","昆明能讯"
"10000002","EN20130101014","100001","12","云电同方"
"10000002","EN20130101015","100001","12","云电同方"
"10000002","EN20130101016","100001","12","云电同方"
"10000002","EN20130101017","100001","12","云电同方"
"10000002","EN20130101018","100001","12","云电同方"
"10000002","EN20130101019","100001","12","云电同方"
"10000003","EN20130101020","100003","203","远信科技"
"10000002","EN20130101021","100001","12","云电同方"
"10000002","EN20130101022","100001","12","云电同方"
"10000002","EN20130101023","100001","12","云电同方"
"10000002","EN20130101024","100001","12","云电同方"
"10000002","EN20130101025","100001","12","云电同方"
"10000003","EN20130101026","100003","12","云电同方"
"10000002","EN20130101027","100001","12","云电同方"
"10000002","EN20130101028","100001","12","云电同方"
"10000002","EN20130101029","100001","12","云电同方"
"10000002","EN20130101030","100001","12","云电同方"
"10000002","EN20130101031","100001","12","云电同方"
"10000002","EN20130101032","100001","12","云电同方"
"10000002","EN20130101033","100001","12","云电同方"
"10000003","EN20130101034","100003","12","云电同方"
"10000002","EN20130101035","100001","12","云电同方"
"10000003","EN20130101035","100001","12","云电同方"
"10000002","EN20130101036","100001","12","云电同方"
"10000002","EN20130101037","100001","12","云电同方"
"10000002","EN20130101038","100001","12","云电同方"
"10000002","EN20130101039","100001","12","云电同方"
"10000002","EN20130101040","100001","202","昆明能讯"
"10000002","EN20130101041","100001","12","云电同方"
"10000004","EN20130101042","100005","202","昆明能讯"
"10000002","EN20130101043","100001","12","云电同方"
"10000004","EN20130101044","100005","202","昆明能讯"
"10000002","EN20130101045","100001","12","云电同方"
"10000002","EN20130101046","100001","12","云电同方"
"10000002","EN20130101047","100001","202","昆明能讯"
"10000003","EN20130101048","100003","12","云电同方"
"10000002","EN20130101049","100001","12","云电同方"
"10000002","EN20130101050","100001","202","昆明能讯"
"10000002","EN20130101051","100001","12","云电同方"
"10000003","EN20130101052","100003","203","远信科技"
"10000002","EN20130101053","100001","12","云电同方"
"10000002","EN20130101054","100001","209","信息中心"
"10000002","EN20130101055","100003","209","信息中心"
"10000002","EN20130101056","100001","12","云电同方"
"10000003","EN20130101057","100003","203","远信科技"
"10000002","EN20130101058","100001","209","信息中心"
"10000002","EN20130101059","100001","202","昆明能讯"
"10000002","EN20130101060","100001","12","云电同方"
"10000002","EN20130101061","100001","12","云电同方"
"10000002","EN20130101062","100001","12","云电同方"
"10000002","EN20130101063","100001","203","远信科技"
"10000002","EN20130101064","100001","12","云电同方"
"10000003","EN20130101064","100001","12","云电同方"
"10000002","EN20130101065","100001","12","云电同方"
"10000003","EN20130101066","100003","12","云电同方"
"10000002","EN20130101067","100001","12","云电同方"
"10000002","EN20130101068","100001","12","云电同方"
"10000002","EN20130101069","100001","12","云电同方"
"10000002","EN20130101070","100001","202","昆明能讯"
"10000002","EN20130101071","100001","202","昆明能讯"
"10000002","EN20130101072","100001","12","云电同方"
"10000002","EN20130101073","100001","202","昆明能讯"
"10000003","EN20130101074","100001","202","昆明能讯"
"10000002","EN20130101080","100001","12","云电同方"
"10000002","EN20130101081","100001","202","昆明能讯"
"10000002","EN20130102001","100001","12","云电同方"
