"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20130312001","100001","202","昆明能讯"
"10000002","EN20130312002","100001","209","信息中心"
"10000002","EN20130312003","100001","209","信息中心"
"10000002","EN20130312004","100001","26","西双版纳供电局"
"10000002","EN20130312005","100001","26","西双版纳供电局"
"10000002","EN20130312006","100001","202","昆明能讯"
"10000002","EN20130312007","100001","203","远信科技"
"10000002","EN20130312008","100001","203","远信科技"
"10000002","EN20130312009","100001","203","远信科技"
"10000003","EN20130312010","100003","19","楚雄供电局"
"10000002","EN20130312011","100001","203","远信科技"
"10000002","EN20130312012","100001","203","远信科技"
"10000003","EN20130312013","100003","202","昆明能讯"
"10000003","EN20130312014","100001","121859","丽江供电局"
"10000002","EN20130312015","100001","202","昆明能讯"
"10000002","EN20130312016","100001","202","昆明能讯"
"10000002","EN20130312017","100001","12","云电同方"
"10000002","EN20130312018","100001","203","远信科技"
"10000003","EN20130312019","100003","21","红河供电局"
"10000004","EN20130312020","100005","202","昆明能讯"
"10000002","EN20130312021","100001","203","远信科技"
"10000002","EN20130312022","100001","203","远信科技"
"10000003","EN20130312023","100003","21","红河供电局"
"10000002","EN20130312024","100001","203","远信科技"
"10000002","EN20130312025","100001","203","远信科技"
"10000003","EN20130312026","100003","202","昆明能讯"
"10000002","EN20130312027","100001","12","云电同方"
"10000002","EN20130312028","100001","12","云电同方"
"10000002","EN20130312029","100001","203","远信科技"
"10000003","EN20130312030","100003","12","云电同方"
"10000002","EN20130312031","100001","400","昭通供电局"
"10000003","EN20130312032","100003","209","信息中心"
"10000002","EN20130312033","100001","21","红河供电局"
"10000002","EN20130312034","100001","203","远信科技"
"10000002","EN20130312035","100001","12","云电同方"
"10000002","EN20130312036","100001","209","信息中心"
"10000002","EN20130312037","100001","202","昆明能讯"
"10000002","EN20130312038","100001","209","信息中心"
"10000002","EN20130312039","100001","203","远信科技"
"10000002","EN20130312040","100001","203","远信科技"
"10000002","EN20130312041","100001","209","信息中心"
"10000002","EN20130312042","100001","12","云电同方"
"10000003","EN20130312043","100003","209","信息中心"
"10000002","EN20130312044","100001","203","远信科技"
"10000002","EN20130312045","100001","203","远信科技"
"10000002","EN20130312046","100001","203","远信科技"
"10000002","EN20130312047","100001","203","远信科技"
"10000002","EN20130312048","100001","202","昆明能讯"
"10000002","EN20130312049","100001","203","远信科技"
"10000002","EN20130312050","100001","203","远信科技"
"10000002","EN20130312051","100001","12","云电同方"
"10000002","EN20130312052","100003","80943","昆明供电局"
"10000002","EN20130312053","100001","203","远信科技"
"10000002","EN20130312054","100001","202","昆明能讯"
"10000002","EN20130312055","100001","202","昆明能讯"
"10000003","EN20130312056","100003","12","云电同方"
"10000002","EN20130312057","100001","80943","昆明供电局"
"10000002","EN20130312058","100003","80943","昆明供电局"
"10000002","EN20130312059","100001","203","远信科技"
"10000003","EN20130312060","100003","22","大理供电局"
"10000002","EN20130312061","100001","209","信息中心"
"10000002","EN20130312062","100001","203","远信科技"
"10000002","EN20130312063","100001","400","昭通供电局"
"10000003","EN20130312064","100003","21","红河供电局"
"10000002","EN20130312065","100001","202","昆明能讯"
"10000002","EN20130312066","100001","203","远信科技"
"10000002","EN20130312067","100001","203","远信科技"
"10000002","EN20130312068","100001","203","远信科技"
"10000002","EN20130312069","100003","80943","昆明供电局"
"10000002","EN20130312070","100001","209","信息中心"
"10000002","EN20130312071","100001","80943","昆明供电局"
