"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20130312007","100001","203","远信科技"
"10000002","EN20130312008","100001","203","远信科技"
"10000002","EN20130312009","100001","203","远信科技"
"10000002","EN20130312011","100001","203","远信科技"
"10000002","EN20130312012","100001","203","远信科技"
"10000002","EN20130312018","100001","203","远信科技"
"10000002","EN20130312021","100001","203","远信科技"
"10000002","EN20130312022","100001","203","远信科技"
"10000002","EN20130312024","100001","203","远信科技"
"10000002","EN20130312025","100001","203","远信科技"
"10000002","EN20130312029","100001","203","远信科技"
"10000002","EN20130312034","100001","203","远信科技"
"10000002","EN20130312039","100001","203","远信科技"
"10000002","EN20130312040","100001","203","远信科技"
"10000002","EN20130312044","100001","203","远信科技"
"10000002","EN20130312045","100001","203","远信科技"
"10000002","EN20130312046","100001","203","远信科技"
"10000002","EN20130312047","100001","203","远信科技"
"10000002","EN20130312049","100001","203","远信科技"
"10000002","EN20130312050","100001","203","远信科技"
"10000002","EN20130312053","100001","203","远信科技"
"10000002","EN20130312059","100001","203","远信科技"
"10000002","EN20130312062","100001","203","远信科技"
"10000002","EN20130312066","100001","203","远信科技"
"10000002","EN20130312067","100001","203","远信科技"
"10000002","EN20130312068","100001","203","远信科技"
"10000002","EN20130312075","100001","203","远信科技"
"10000002","EN20130312078","100001","203","远信科技"
"10000002","EN20130312080","100001","203","远信科技"
"10000002","EN20130312082","100001","203","远信科技"
"10000002","EN20130312083","100001","203","远信科技"
"10000002","EN20130312088","100001","203","远信科技"
"10000002","EN20130312089","100001","203","远信科技"
"10000002","EN20130312093","100001","203","远信科技"
"10000002","EN20130312099","100001","203","远信科技"
"10000002","EN20130312100","100001","203","远信科技"
"10000002","EN20130312102","100001","203","远信科技"
"10000002","EN20130312104","100001","203","远信科技"
"10000002","EN20130312105","100001","203","远信科技"
"10000002","EN20130312107","100001","203","远信科技"
"10000002","EN20130312108","100001","203","远信科技"
"10000002","EN20130312112","100001","203","远信科技"
"10000002","EN20130312121","100001","203","远信科技"
"10000002","EN20130312127","100001","203","远信科技"
"10000002","EN20130312128","100001","203","远信科技"
"10000002","EN20130312136","100001","203","远信科技"
"10000002","EN20130312138","100001","203","远信科技"
"10000002","EN20130312139","100001","203","远信科技"
"10000002","EN20130312144","100001","203","远信科技"
"10000002","EN20130312148","100001","203","远信科技"
"10000002","EN20130312149","100001","203","远信科技"
"10000002","EN20130312150","100001","203","远信科技"
"10000002","EN20130312151","100001","203","远信科技"
"10000002","EN20130312156","100001","203","远信科技"
"10000002","EN20130312158","100001","203","远信科技"
"10000002","EN20130312164","100001","203","远信科技"
"10000002","EN20130312180","100001","203","远信科技"
"10000002","EN20130312181","100001","203","远信科技"
"10000002","EN20130312198","100001","203","远信科技"
"10000002","EN20130312200","100001","203","远信科技"
"10000002","EN20130312205","100001","203","远信科技"
"10000002","EN20130312209","100001","203","远信科技"
"10000002","EN20130312211","100001","203","远信科技"
"10000002","EN20130312213","100001","203","远信科技"
"10000002","EN20130312214","100001","203","远信科技"
